,Sale_Price,Longitude,Latitude,Neighborhood,Lot_Area,Bldg_Type,Overall_Cond,TotRms_AbvGrd,Gr_Liv_Area,Second_Flr_SF,Garage_Type,Sale_Condition,Year_Built,Year_Remod_Add,Bedroom_AbvGr,Bath_AbvGr,Branch_Number
33,149900,-93.625924,42.050683,Northpark_Villa,2280,Twnhs,Above_Average,6,1456,True,True,Normal,1975,1975,3,3,Branch_2
34,120000,-93.625966,42.050681,Northpark_Villa,2280,Twnhs,Above_Average,4,836,False,True,Normal,1975,1975,2,1,Branch_2
35,146000,-93.625848,42.049811,Northpark_Villa,2280,Twnhs,Average,7,1456,True,True,Normal,1978,1978,3,3,Branch_2
36,376162,-93.653201,42.062352,Northridge_Heights,12858,OneFam,Average,10,2334,True,True,Partial,2009,2010,3,3,Branch_1
37,306000,-93.654645,42.062109,Northridge_Heights,11478,OneFam,Average,7,1704,False,True,Normal,2007,2008,3,2,Branch_1
38,395192,-93.6537329,42.0611331,Northridge_Heights,10159,OneFam,Average,8,1940,False,True,Partial,2009,2010,3,3,Branch_1
39,290941,-93.6528306,42.0612885,Northridge_Heights,12883,OneFam,Average,7,1544,False,True,Partial,2009,2010,3,2,Branch_1
40,220000,-93.652713,42.060872,Northridge_Heights,12182,OneFam,Average,7,1541,False,True,Partial,2005,2005,3,2,Branch_1
41,275000,-93.65332,42.0608079,Northridge_Heights,11520,OneFam,Average,7,1698,False,True,Normal,2005,2005,3,2,Branch_1
42,259000,-93.652336,42.060879,Northridge_Heights,14122,OneFam,Average,8,1822,False,True,Normal,2005,2006,3,2,Branch_1
43,214000,-93.652307,42.060298,Northridge_Heights,10171,OneFam,Average,7,1535,False,True,Normal,2004,2004,3,2,Branch_1
44,611657,-93.655051,42.059617,Northridge_Heights,12919,OneFam,Average,11,2364,False,True,Partial,2009,2010,2,3,Branch_1
45,224000,-93.650436,42.058388,Northridge_Heights,6371,TwnhsE,Average,6,1358,False,True,Partial,2009,2010,2,2,Branch_1
46,500000,-93.656067,42.058599,Northridge_Heights,14300,OneFam,Average,10,2696,False,True,Normal,2003,2004,3,3,Branch_1
47,320000,-93.654853,42.057102,Northridge_Heights,13650,OneFam,Average,7,2250,True,True,Normal,2002,2002,3,3,Branch_1
48,319900,-93.654121,42.057164,Northridge_Heights,7658,TwnhsE,Average,6,1752,False,True,Normal,2005,2005,2,2,Branch_1
49,205000,-93.649447,42.058252,Northridge_Heights,7132,TwnhsE,Average,6,1370,False,True,Normal,2006,2006,2,2,Branch_1
50,175500,-93.651013,42.057181,Northridge_Heights,2628,Twnhs,Average,6,1626,True,True,Normal,2003,2003,2,3,Branch_1
51,199500,-93.644356,42.061928,Gilbert,18494,OneFam,Average,6,1324,False,True,Normal,2005,2005,3,2,Branch_1
52,160000,-93.641635,42.06257,Bloomington_Heights,3203,TwnhsE,Average,6,1145,False,True,Normal,2006,2006,2,2,Branch_1
53,192000,-93.642252,42.062303,Bloomington_Heights,3182,TwnhsE,Average,6,1269,False,True,Normal,2004,2005,2,2,Branch_1
54,184500,-93.644076,42.061443,Gilbert,13300,OneFam,Average,7,1374,True,True,Normal,2004,2004,3,3,Branch_1
55,216500,-93.641487,42.060977,Gilbert,7851,OneFam,Average,8,1960,True,True,Normal,2002,2002,4,3,Branch_1
56,185088,-93.642447,42.061193,Gilbert,8577,OneFam,Average,7,1733,True,True,Normal,2004,2004,3,3,Branch_1
57,180000,-93.641325,42.060936,Gilbert,7750,OneFam,Average,7,1430,True,True,Normal,2000,2000,3,3,Branch_1
58,222500,-93.641337,42.057103,Gilbert,9505,OneFam,Average,8,2035,True,True,Normal,2001,2001,3,3,Branch_1
59,333168,-93.651381,42.054386,Northridge,14774,OneFam,Average,10,2599,True,True,Normal,1999,1999,4,3,Branch_1
60,355000,-93.652334,42.053243,Northridge,17433,OneFam,Average,7,2475,True,True,Normal,1998,1998,4,3,Branch_1
61,260400,-93.654206,42.051721,Northridge,10593,OneFam,Average,7,1720,False,True,Normal,1996,1996,3,2,Branch_1
62,325000,-93.653616,42.051674,Northridge,12256,OneFam,Average,9,2622,True,True,Normal,1994,1995,3,3,Branch_1
63,290000,-93.650356,42.052457,Northridge,11764,OneFam,Good,9,2270,True,True,Normal,1999,2007,4,3,Branch_1
64,221000,-93.650578,42.052437,Northridge,16770,OneFam,Average,7,1839,True,True,Normal,1998,1998,4,3,Branch_1
65,410000,-93.652972,42.050909,Northridge,14720,OneFam,Average,9,3238,True,True,Normal,1995,1996,4,3,Branch_1
66,221500,-93.642368,42.05306,Somerset,8987,OneFam,Average,6,1595,False,True,Normal,2005,2006,2,2,Branch_1
67,204500,-93.649976,42.051827,Somerset,9215,OneFam,Average,4,1218,False,True,Partial,2009,2010,2,2,Branch_1
68,215200,-93.650318,42.051653,Somerset,8640,OneFam,Average,7,1547,True,True,Normal,2009,2009,3,3,Branch_1
69,262500,-93.647105,42.050084,Somerset,9000,OneFam,Average,7,1566,False,True,Normal,2008,2008,3,2,Branch_1
70,254900,-93.642773,42.052347,Somerset,12552,OneFam,Average,8,1947,True,True,Normal,2004,2005,3,3,Branch_1
71,271500,-93.642224,42.051429,Somerset,10440,OneFam,Average,6,1468,False,True,Normal,2005,2005,2,2,Branch_1
72,233000,-93.692309,42.036255,Sawyer_West,10142,OneFam,Average,8,2084,True,True,Normal,2004,2004,4,3,Branch_3
73,181000,-93.692412,42.036113,Sawyer_West,11920,OneFam,Average,8,1659,True,True,Normal,2004,2004,3,3,Branch_3
74,205000,-93.68981,42.036026,Sawyer_West,8880,OneFam,Average,8,2110,True,True,Normal,1994,2002,3,3,Branch_3
75,143000,-93.686417,42.03548,Sawyer_West,8012,TwnhsE,Average,5,923,False,True,Normal,1980,1980,2,2,Branch_3
76,189000,-93.687694,42.036659,Sawyer_West,11218,OneFam,Average,8,1845,True,True,Normal,1992,1992,3,3,Branch_3
77,99500,-93.686263,42.034589,Sawyer_West,7892,TwnhsE,Average,5,918,False,True,Normal,1979,1979,2,2,Branch_3
78,125000,-93.686264,42.0347,Sawyer_West,7175,TwnhsE,Average,4,752,False,True,Normal,1984,1984,2,1,Branch_3
79,194500,-93.68628,42.036633,Sawyer_West,9453,OneFam,Good,7,1744,True,True,Normal,1993,2003,3,3,Branch_3
80,152000,-93.685028,42.034555,Sawyer_West,9672,OneFam,Average,6,1097,False,True,Normal,1984,1985,3,2,Branch_3
81,171000,-93.685029,42.034678,Sawyer_West,8400,OneFam,Above_Average,7,1564,True,True,Normal,1980,1981,3,3,Branch_3
82,67500,-93.6790694,42.0360754,Sawyer_West,9800,OneFam,Average,5,1012,False,True,Normal,1920,1950,2,1,Branch_3
83,112000,-93.677205,42.036535,Sawyer,8930,Duplex,Average,8,1902,True,True,Normal,1978,1978,4,2,Branch_3
84,148000,-93.673669,42.034793,Sawyer,11782,OneFam,Good,6,1155,False,True,Normal,1961,1995,3,1,Branch_3
85,138500,-93.670956,42.035685,Sawyer,8450,OneFam,Very_Good,5,894,False,True,Normal,1965,2009,3,1,Branch_3
86,122000,-93.672096,42.034856,Sawyer,9819,OneFam,Average,5,900,False,True,Normal,1967,1967,3,1,Branch_3
87,133000,-93.672067,42.03457,Sawyer,7500,OneFam,Average,5,1040,False,True,Normal,1963,1963,3,2,Branch_3
88,127000,-93.669688,42.035333,Sawyer,6897,OneFam,Very_Good,6,1040,False,True,Normal,1962,2010,3,2,Branch_3
90,190000,-93.646749,42.048253,Northridge,10186,OneFam,Average,8,1923,True,True,Normal,1992,1992,3,3,Branch_1
91,362500,-93.651773,42.046825,Northridge,13143,OneFam,Average,9,2349,True,True,Normal,1993,1993,4,3,Branch_1
92,285000,-93.652773,42.045773,Northridge,11134,OneFam,Average,7,2225,True,True,Normal,1992,1993,4,3,Branch_1
93,260000,-93.647988,42.047452,Somerset,4835,TwnhsE,Average,6,1488,False,True,Normal,2004,2005,2,2,Branch_1
94,190000,-93.64614,42.048086,Somerset,3515,TwnhsE,Average,3,1680,True,True,Normal,2004,2004,2,3,Branch_1
95,155000,-93.645599,42.048566,Somerset,3215,TwnhsE,Average,4,1200,True,True,Normal,2004,2004,2,3,Branch_1
96,151000,-93.644889,42.047899,Somerset,3182,TwnhsE,Average,4,1200,True,True,Normal,2004,2005,2,3,Branch_1
97,149500,-93.644889,42.047876,Somerset,2544,Twnhs,Average,4,1200,True,True,Normal,2004,2005,2,3,Branch_1
98,152000,-93.64489,42.047782,Somerset,2544,Twnhs,Average,4,1236,True,True,Normal,2005,2005,2,3,Branch_1
99,222000,-93.6468879,42.0471748,Somerset,4403,OneFam,Average,7,1478,False,True,Partial,2009,2009,2,3,Branch_1
100,177500,-93.645606,42.046145,Somerset,2117,Twnhs,Average,5,1573,True,True,Normal,2000,2000,3,3,Branch_1
101,177000,-93.645585,42.046145,Somerset,2980,TwnhsE,Average,5,1512,True,True,Normal,2000,2000,2,3,Branch_1
102,155000,-93.645482,42.046424,Somerset,2572,Twnhs,Average,6,1416,True,True,Normal,1999,1999,3,3,Branch_1
103,147110,-93.645478,42.046114,Somerset,2403,TwnhsE,Average,4,1080,True,True,Normal,2003,2003,2,3,Branch_1
104,267916,-93.641253,42.0470316,Somerset,12853,OneFam,Average,6,1418,False,True,Partial,2010,2010,1,2,Branch_1
105,254000,-93.643556,42.04638,Somerset,7379,OneFam,Average,7,1848,True,True,Normal,2000,2000,3,3,Branch_1
106,155000,-93.649361,42.042565,Greens,4420,TwnhsE,Average,3,788,False,True,Normal,1980,1980,1,1,Branch_1
107,206000,-93.648143,42.043704,Greens,3880,Twnhs,Above_Average,4,1226,False,True,Normal,1978,1978,1,1,Branch_1
108,130500,-93.65921,42.034561,Sawyer,13517,OneFam,Very_Good,6,1479,True,True,Normal,1976,2005,3,3,Branch_3
109,230000,-93.639516,42.048606,Somerset,8000,OneFam,Average,6,1492,False,True,Normal,2002,2002,3,2,Branch_1
110,218500,-93.633351,42.046322,Northwest_Ames,10456,OneFam,Above_Average,8,1829,False,True,Normal,1967,1967,4,2,Branch_2
111,243500,-93.636879,42.043038,Northwest_Ames,10791,OneFam,Average,9,2495,True,True,Normal,1993,1993,4,3,Branch_2
112,205000,-93.637463,42.043306,Northwest_Ames,10603,OneFam,Good,6,1610,False,True,Normal,1977,2001,3,2,Branch_2
113,212500,-93.637531,42.043306,Northwest_Ames,18837,OneFam,Average,7,1891,True,True,Normal,1978,1978,3,3,Branch_2
114,196500,-93.637788,42.043329,Northwest_Ames,10421,OneFam,Average,7,1714,True,True,Normal,1988,1988,3,3,Branch_2
115,197500,-93.631435,42.043822,Northwest_Ames,9360,OneFam,Good,5,1381,False,True,Normal,1972,2006,3,2,Branch_2
116,171000,-93.632554,42.043821,Northwest_Ames,9600,OneFam,Above_Average,7,1645,True,True,Normal,1971,1971,4,3,Branch_2
117,142250,-93.626137,42.046574,North_Ames,9600,OneFam,Average,6,1232,False,True,Normal,1966,1966,3,2,Branch_2
118,143000,-93.625926,42.042205,Northwest_Ames,9790,OneFam,Average,6,1328,False,True,Normal,1963,1963,3,2,Branch_2
119,128950,-93.623383,42.043363,North_Ames,9320,OneFam,Average,6,1225,False,False,Normal,1959,1959,3,2,Branch_2
120,159000,-93.626939,42.039085,North_Ames,9900,OneFam,Average,6,1209,False,True,Normal,1966,1966,3,1,Branch_2
121,178900,-93.627536,42.038971,North_Ames,9680,OneFam,Above_Average,6,1510,False,True,Normal,1967,1967,3,2,Branch_2
123,180500,-93.627809,42.041146,North_Ames,14112,OneFam,Good,6,1152,False,True,Normal,1964,1964,3,1,Branch_2
126,142125,-93.622864,42.039211,North_Ames,9717,OneFam,Above_Average,5,1078,False,True,Normal,1950,1996,2,1,Branch_2
127,197600,-93.620651,42.039211,North_Ames,9724,OneFam,Good,7,2461,True,True,Normal,1952,2002,3,2,Branch_2
128,172500,-93.620504,42.038538,North_Ames,17360,OneFam,Above_Average,6,1556,True,True,Normal,1949,1950,3,2,Branch_2
129,116500,-93.629287,42.035256,Brookside,7207,OneFam,Good,4,858,False,False,Normal,1958,2008,2,1,Branch_2
130,76500,-93.629313,42.035482,Brookside,5350,OneFam,Poor,6,1306,False,False,Normal,1940,1966,3,1,Branch_2
131,128000,-93.62475,42.035943,North_Ames,9920,OneFam,Average,6,1063,False,True,Normal,1954,1954,3,1,Branch_2
132,153000,-93.624601,42.036095,North_Ames,9600,OneFam,Above_Average,7,1520,False,True,Normal,1955,1972,3,1,Branch_2
133,132000,-93.621431,42.037424,North_Ames,7800,OneFam,Above_Average,7,1268,False,True,Normal,1954,1954,2,1,Branch_2
134,178000,-93.618221,42.048494,North_Ames,11380,OneFam,Very_Good,5,1128,False,True,Normal,1966,2008,2,1,Branch_2
135,154300,-93.6184183,42.0459375,North_Ames,11600,Duplex,Average,12,2274,True,True,Normal,1960,1960,5,2,Branch_2
136,180000,-93.614307,42.049514,North_Ames,19900,OneFam,Average,7,2207,False,True,Normal,1970,1989,3,2,Branch_2
137,190000,-93.614244,42.047447,North_Ames,16492,OneFam,Above_Average,6,1888,False,True,Normal,1966,2002,2,3,Branch_2
138,135000,-93.617693,42.044895,North_Ames,8267,Duplex,Average,8,1604,False,True,Normal,1958,1958,4,2,Branch_2
139,214000,-93.617553,42.043984,North_Ames,8197,OneFam,Average,7,1480,False,True,Normal,2003,2009,3,2,Branch_2
140,136000,-93.617117,42.042908,North_Ames,8050,OneFam,Average,6,1143,False,True,Normal,1959,1959,3,1,Branch_2
141,165500,-93.6177041,42.0430839,North_Ames,10552,OneFam,Average,6,1700,False,True,Normal,1959,1959,4,2,Branch_2
142,145000,-93.618626,42.044847,North_Ames,8400,OneFam,Above_Average,5,1314,False,True,Normal,1957,1957,3,1,Branch_2
143,148000,-93.616582,42.043969,North_Ames,8760,OneFam,Above_Average,6,1194,False,True,Normal,1959,1959,3,1,Branch_2
145,167500,-93.613301,42.044176,North_Ames,9300,OneFam,Average,6,1264,False,True,Normal,1960,1960,3,1,Branch_2
146,108538,-93.61513,42.044883,North_Ames,10725,OneFam,Average,6,1206,False,True,Normal,1959,1959,3,1,Branch_2
147,159500,-93.614241,42.0435919,North_Ames,10032,OneFam,Average,6,1580,False,True,Normal,1959,1959,3,2,Branch_2
148,108000,-93.613624,42.042308,North_Ames,8382,OneFam,Average,5,1337,True,True,Normal,1956,1956,3,1,Branch_2
149,135000,-93.615622,42.040396,North_Ames,10950,OneFam,Good,4,1064,False,True,Normal,1952,1952,2,1,Branch_2
150,122500,-93.617092,42.04137,North_Ames,10895,OneFam,Above_Average,5,972,False,True,Normal,1955,1955,3,1,Branch_2
153,105000,-93.615475,42.038443,North_Ames,7898,OneFam,Good,4,985,False,True,Normal,1920,1994,2,1,Branch_2
154,107500,-93.611642,42.038521,North_Ames,7200,OneFam,Good,5,827,False,True,Normal,1955,2007,2,1,Branch_2
155,144900,-93.618788,42.038249,North_Ames,10200,OneFam,Good,6,1086,False,True,Normal,1954,2003,3,1,Branch_2
156,129000,-93.6192014,42.0381282,North_Ames,5868,OneFam,Good,4,936,False,True,Normal,1956,2000,2,1,Branch_2
158,144000,-93.6116762,42.0372097,Old_Town,6979,Duplex,Average,4,1056,False,True,Normal,1980,1980,0,0,Branch_2
159,162000,-93.607275,42.040085,North_Ames,9830,OneFam,Good,7,1287,False,True,Normal,1959,2006,3,1,Branch_2
160,242000,-93.606905,42.041119,North_Ames,11275,OneFam,Good,11,2978,True,True,Normal,1967,2007,5,3,Branch_2
161,132000,-93.61061,42.035867,North_Ames,8064,OneFam,Very_Good,5,1224,True,True,Normal,1948,2004,3,1,Branch_2
162,154000,-93.605969,42.03594,North_Ames,7500,OneFam,Good,6,1246,False,True,Normal,1959,1994,3,2,Branch_2
163,166000,-93.609218,42.0347571,North_Ames,8520,OneFam,Below_Average,6,1385,True,True,Normal,1952,1952,4,2,Branch_2
164,134800,-93.607801,42.034848,North_Ames,7200,OneFam,Good,5,900,False,True,Normal,1951,2000,3,1,Branch_2
165,160000,-93.605943,42.034748,North_Ames,10000,OneFam,Above_Average,5,1116,False,True,Normal,1962,1962,3,2,Branch_2
166,148000,-93.606742,42.034851,North_Ames,7635,OneFam,Above_Average,6,1175,False,True,Normal,1960,1960,3,2,Branch_2
167,192000,-93.604835,42.036873,North_Ames,9760,OneFam,Good,7,1395,False,True,Normal,1963,1984,2,1,Branch_2
168,155000,-93.603705,42.037093,North_Ames,7700,OneFam,Average,7,1839,True,True,Normal,1966,1966,4,2,Branch_2
170,96500,-93.617135,42.032134,Old_Town,8800,OneFam,Good,7,1140,True,False,Normal,1910,2004,3,1,Branch_2
171,109500,-93.62024,42.031363,Old_Town,4485,OneFam,Good,5,936,False,False,Normal,1920,1950,2,1,Branch_2
172,115000,-93.620241,42.031381,Old_Town,8960,OneFam,Above_Average,5,1028,False,True,Normal,1927,1950,2,1,Branch_2
173,143000,-93.6179112,42.0303783,Old_Town,5805,OneFam,Good,6,1347,False,True,Normal,1957,1957,3,1,Branch_2
174,107400,-93.614002,42.033279,Old_Town,5790,OneFam,Above_Average,8,1605,True,True,Normal,1915,1950,3,2,Branch_2
175,80000,-93.615431,42.033644,Old_Town,4608,OneFam,Above_Average,4,747,False,True,Normal,1945,1950,2,1,Branch_2
177,130000,-93.608954,42.03128,Old_Town,5500,OneFam,Good,6,1316,False,True,Normal,1929,2001,3,1,Branch_2
178,119000,-93.6090761,42.0303113,Old_Town,6900,OneFam,Good,6,1251,True,True,Normal,1938,2000,3,1,Branch_2
179,129000,-93.610466,42.030383,Old_Town,11851,OneFam,Good,7,1633,True,True,Normal,1948,2009,3,1,Branch_2
180,100000,-93.610468,42.030467,Old_Town,8239,OneFam,Above_Average,6,1245,True,True,Normal,1920,1962,3,1,Branch_2
182,105900,-93.606789,42.030331,Old_Town,8520,OneFam,Very_Good,5,720,False,True,Normal,1928,2003,2,1,Branch_2
184,139000,-93.610588,42.029146,Old_Town,10800,OneFam,Above_Average,7,1652,True,True,Normal,1915,1950,4,2,Branch_2
185,240000,-93.61221,42.028145,Old_Town,9000,OneFam,Excellent,7,2268,True,True,Normal,1890,2002,3,3,Branch_2
187,149700,-93.608246,42.03005,Old_Town,7407,OneFam,Good,6,1236,False,True,Normal,1957,1996,2,1,Branch_2
188,125500,-93.607238,42.028164,Old_Town,7740,OneFam,Good,6,1363,True,True,Normal,1910,1950,3,1,Branch_2
189,122500,-93.608752,42.02916,Old_Town,11340,TwoFmCon,Above_Average,11,2290,True,True,Normal,1885,1950,4,2,Branch_2
190,140750,-93.607088,42.028165,Old_Town,10560,OneFam,Good,6,1470,True,True,Normal,1922,1994,2,2,Branch_2
191,128500,-93.625737,42.033642,Brookside,5830,OneFam,Above_Average,7,1612,True,True,Normal,1950,1997,3,2,Branch_2
192,209500,-93.625825,42.030187,Brookside,7793,OneFam,Good,8,2068,True,True,Normal,1922,2005,3,2,Branch_2
193,87000,-93.625586,42.033621,Brookside,5000,OneFam,Good,4,765,False,True,Normal,1925,1950,2,1,Branch_2
195,128000,-93.622597,42.0336,Brookside,6000,OneFam,Above_Average,6,1196,True,True,Normal,1940,1950,3,2,Branch_2
196,132000,-93.623523,42.033665,Brookside,6360,OneFam,Above_Average,7,1453,True,True,Normal,1942,1950,3,2,Branch_2
197,139900,-93.622448,42.033631,Brookside,6000,OneFam,Good,6,1416,True,True,Normal,1948,1950,3,2,Branch_2
198,123900,-93.623483,42.031556,Brookside,6240,OneFam,Good,5,1040,True,True,Normal,1936,1980,2,1,Branch_2
199,138400,-93.621482,42.031337,Brookside,6240,OneFam,Average,7,1536,True,True,Normal,1930,1950,4,2,Branch_2
200,109500,-93.620409,42.032302,Old_Town,6120,OneFam,Average,5,1068,False,True,Normal,1923,1950,2,1,Branch_2
201,140000,-93.62338,42.027986,Old_Town,10300,OneFam,Above_Average,9,1710,True,True,Normal,1921,1950,3,2,Branch_2
202,149500,-93.621674,42.028888,Old_Town,8094,OneFam,Average,9,1962,True,True,Normal,1915,1950,4,2,Branch_2
203,159900,-93.621835,42.028875,Old_Town,12900,OneFam,Very_Good,7,1560,True,False,Normal,1912,2009,3,2,Branch_2
204,122000,-93.621632,42.026914,Old_Town,3068,OneFam,Very_Good,6,1324,True,True,Normal,1920,1993,3,1,Branch_2
205,110000,-93.629495,42.020693,Iowa_DOT_and_Rail_Road,8472,Duplex,Average,5,816,False,True,Normal,1963,1963,2,1,Branch_4
206,55000,-93.626876,42.024141,Iowa_DOT_and_Rail_Road,5600,TwoFmCon,Average,7,1092,True,False,Normal,1930,1950,3,2,Branch_4
207,140000,-93.620386,42.026741,Old_Town,7630,TwoFmCon,Excellent,8,1812,True,True,Normal,1900,1996,4,2,Branch_2
208,244400,-93.656231,42.033454,Clear_Creek,24090,OneFam,Good,10,2403,True,True,Normal,1940,1950,4,2,Branch_3
209,173000,-93.655538,42.032432,Clear_Creek,15263,OneFam,Average,8,1675,False,True,Normal,1959,1959,3,2,Branch_3
210,107500,-93.658265,42.028256,Clear_Creek,10632,OneFam,Fair,6,1224,True,True,Normal,1917,1950,3,2,Branch_3
211,100000,-93.656924,42.026752,South_and_West_of_Iowa_State_University,9900,TwoFmCon,Below_Average,6,1392,True,False,Normal,1915,1950,3,1,Branch_4
212,95000,-93.658081,42.02616,South_and_West_of_Iowa_State_University,6001,OneFam,Average,5,919,True,True,Normal,1940,1950,3,1,Branch_4
214,114900,-93.655849,42.022825,South_and_West_of_Iowa_State_University,6048,TwoFmCon,Good,7,1680,True,True,Normal,1910,1950,2,2,Branch_4
215,94000,-93.672036,42.034451,Sawyer,6342,OneFam,Very_Good,6,1020,True,False,Normal,1875,1996,2,1,Branch_3
216,136000,-93.671021,42.033386,Sawyer,10773,Duplex,Fair,8,1832,False,False,Normal,1967,1967,4,2,Branch_3
217,136500,-93.671076,42.033387,Sawyer,10778,Duplex,Average,8,1768,False,False,Normal,1968,1968,4,2,Branch_3
218,131500,-93.673401,42.033008,Sawyer,11625,TwoFmCon,Below_Average,6,1039,False,True,Normal,1965,1965,3,2,Branch_3
219,121500,-93.672381,42.03237,Sawyer,11341,OneFam,Above_Average,5,1392,False,True,Normal,1957,1996,3,2,Branch_3
220,125000,-93.678141,42.029867,Sawyer,8521,OneFam,Average,5,912,False,True,Normal,1967,1967,3,1,Branch_3
221,154000,-93.676659,42.03069,Sawyer,8246,OneFam,Very_Good,6,1060,False,True,Normal,1968,2001,3,1,Branch_3
222,137900,-93.677992,42.029924,Sawyer,7800,OneFam,Good,5,892,False,True,Normal,1966,2008,3,1,Branch_3
223,158000,-93.676654,42.029731,Sawyer,9364,OneFam,Good,7,1352,True,True,Normal,1969,1969,4,2,Branch_3
224,137250,-93.676674,42.030519,Sawyer,7832,OneFam,Average,4,864,False,True,Normal,1968,1968,2,1,Branch_3
225,160250,-93.671511,42.031187,Sawyer,7424,Duplex,Average,5,1373,False,True,Normal,1978,1978,3,1,Branch_3
226,163000,-93.673565,42.03136,Sawyer,11227,OneFam,Average,7,1440,True,True,Normal,1968,1968,4,2,Branch_3
228,328000,-93.670503,42.030082,Clear_Creek,14000,OneFam,Average,7,2260,True,True,Normal,1996,1997,3,3,Branch_3
229,270000,-93.670114,42.03009,Clear_Creek,20062,OneFam,Good,4,1483,False,True,Normal,1977,2001,1,2,Branch_3
230,85000,-93.663619,42.03387,Sawyer,9259,OneFam,Below_Average,4,756,False,True,Normal,1927,1950,2,1,Branch_3
231,128000,-93.668378,42.032164,Sawyer,9600,OneFam,Good,4,1067,False,True,Normal,1950,1995,2,2,Branch_3
232,260000,-93.667904,42.026547,Clear_Creek,23595,OneFam,Above_Average,4,1524,True,True,Normal,1979,1979,0,1,Branch_3
